1,A rose by any other name would smell as sweet.
2,All that glitters is not gold.
3,"All the world’s a stage, and all the men and women merely players."
4,Ask not what your country can do for you; ask what you can do for your country.
5,"Ask, and it shall be given you; seek, and you shall find."
6,Eighty percent of success is showing up.
7,"Elementary, my dear Watson."
8,"For those to whom much is given, much is required."
9,"Frankly, my dear, I don't give a damn."
10,Genius is one percent inspiration and ninety-nine percent perspiration.
11,He travels the fastest who travels alone.
12,Hell has no fury like a woman scorned.
13,"Houston, we have a problem."
14,I have a dream that my four little children will one day live in a nation where they will not be judged by the color of their skin but by the content of their character.
15,I have always depended on the kindness of strangers.
16,I love the smell of napalm in the morning.
17,I think therefore I am.
18,"If at first you don’t succeed, try, try again."
19,"If you are going through hell, keep going."
20,"If you build it, they will come."
21,"If you want something done right, do it yourself."
22,"If you want something said, ask a man; if you want something done, ask a woman."
23,I'm gonna make him an offer he can't refuse.
24,I've got a feeling we're not in Kansas anymore.
25,"Keep your friends close, but your enemies closer."
26,Knowledge is power.
27,Life is like a box of chocolates. You never know what you’re gonna get.
28,"Life is like riding a bicycle. To keep your balance, you must keep moving."
29,May the Force be with you.
30,No one can make you feel inferior without your consent.
31,Not all those who wander are lost.
32,Nothing is certain except for death and taxes.
33,Parting is such sweet sorrow
34,Power corrupts; absolute power corrupts absolutely.
35,Speak softly and carry a big stick
36,"That’s one small step for a man, a giant leap for mankind."
37,The love of money is the root of all evil.
38,The only thing we have to fear is fear itself.
39,There's no place like home.
40,"Three can keep a secret, if two of them are dead."
41,Tis better to have loved and lost than never to have loved at all.
42,"To be or not to be, that is the question."
43,"To err is human; to forgive, divine."
44,"Two roads diverged in a wood, and I, I took the one less travelled by, and that has made all the difference."
45,"United we stand, divided we fall."
46,What doesn't kill us makes us stronger.
47,What we've got here is failure to communicate. Some men you just can't reach.
48,"Whatever you are, be a good one."
49,"You can fool all of the people some of the time, and some of the people all of the time, but you can't fool all of the people all of the time."
50,You must be the change you wish to see in the world.
