$ ps_mlfglottery
Time,Pid,cpu-time,total-cpu,tickets,total-tickets,queue
0,1,73,932,1,100,low
0,2,55,932,1,100,low
0,3,494,932,1,100,low
0,5,55,932,10,100,low
0,6,121,932,30,100,low
0,7,134,932,57,100,low
10,1,73,3557,1,100,low
10,2,55,3557,1,100,low
10,3,537,3557,1,100,low
10,5,483,3557,10,100,low
10,6,1128,3557,30,100,low
10,7,1281,3557,57,100,low
20,1,73,4799,1,100,low
20,2,55,4799,1,100,low
20,3,570,4799,1,100,low
20,5,705,4799,10,100,low
20,6,1571,4799,30,100,low
20,7,1825,4799,57,100,low
30,1,73,6063,1,100,low
30,2,55,6063,1,100,low
30,3,600,6063,1,100,low
30,5,883,6063,10,100,low
30,6,2065,6063,30,100,low
30,7,2387,6063,57,100,low
40,1,73,8124,1,100,low
40,2,55,8124,1,100,low
40,3,627,8124,1,100,low
40,5,1243,8124,10,100,low
40,6,2827,8124,30,100,low
40,7,3299,8124,57,100,low
50,1,73,9490,1,100,low
50,2,55,9490,1,100,low
50,3,650,9490,1,100,low
50,5,1449,9490,10,100,low
50,6,3363,9490,30,100,low
50,7,3900,9490,57,100,low
60,1,73,10785,1,100,low
60,2,55,10785,1,100,low
60,3,678,10785,1,100,low
60,5,1657,10785,10,100,low
60,6,3855,10785,30,100,low
60,7,4467,10785,57,100,low
70,1,73,12155,1,100,low
70,2,55,12155,1,100,low
70,3,704,12155,1,100,low
70,5,1863,12155,10,100,low
70,6,4379,12155,30,100,low
70,7,5081,12155,57,100,low
80,1,73,13772,1,100,low
80,2,55,13772,1,100,low
80,3,731,13772,1,100,low
80,5,2113,13772,10,100,low
80,6,5007,13772,30,100,low
80,7,5793,13772,57,100,low
90,1,73,15609,1,100,low
90,2,55,15609,1,100,low
90,3,760,15609,1,100,low
90,5,2439,15609,10,100,low
90,6,5697,15609,30,100,low
90,7,6585,15609,57,100,low
100,1,73,17039,1,100,low
100,2,55,17039,1,100,low
100,3,789,17039,1,100,low
100,5,2699,17039,10,100,low
100,6,6224,17039,30,100,low
100,7,7199,17039,57,100,low
$ getpinfo 
pid: 1 hticks: 1 lticks:72, tickets: 1
pid: 2 hticks: 1 lticks:58, tickets: 1
pid: 3 hticks: 1 lticks:830, tickets: 1
pid: 5 hticks: 1 lticks:4136, tickets: 10
pid: 6 hticks: 1 lticks:9685, tickets: 30
pid: 7 hticks: 1 lticks:11122, tickets: 57
TEST PASSED




$ ps_mlfqlottery
Time,Pid,cpu-time,total-cpu,tickets,total-tickets,queue
0,1,51,505,1,100,low
0,2,65,505,1,100,low
0,3,378,505,1,100,low
0,7,9,505,10,100,low
0,8,1,505,30,100,low
0,9,1,505,57,100,low
10,1,51,1412,1,100,low
10,2,65,1412,1,100,low
10,3,404,1412,1,100,low
10,7,169,1412,10,100,low
10,8,331,1412,30,100,low
10,9,392,1412,57,100,low
20,1,51,3941,1,100,low
20,2,65,3941,1,100,low
20,3,436,3941,1,100,low
20,7,593,3941,10,100,low
20,8,1283,3941,30,100,low
20,9,1513,3941,57,100,low
30,1,51,5652,1,100,low
30,2,65,5652,1,100,low
30,3,464,5652,1,100,low
30,7,839,5652,10,100,low
30,8,1959,5652,30,100,low
30,9,2274,5652,57,100,low
40,1,51,7670,1,100,low
40,2,65,7670,1,100,low
40,3,491,7670,1,100,low
40,7,1223,7670,10,100,low
40,8,2695,7670,30,100,low
40,9,3145,7670,57,100,low
50,1,51,9390,1,100,low
50,2,65,9390,1,100,low
50,3,521,9390,1,100,low
50,7,1483,9390,10,100,low
50,8,3377,9390,30,100,low
50,9,3893,9390,57,100,low
60,1,51,11928,1,100,low
60,2,65,11928,1,100,low
60,3,549,11928,1,100,low
60,7,1861,11928,10,100,low
60,8,4387,11928,30,100,low
60,9,5015,11928,57,100,low
70,1,51,13543,1,100,low
70,2,65,13543,1,100,low
70,3,576,13543,1,100,low
70,7,2143,13543,10,100,low
70,8,4987,13543,30,100,low
70,9,5721,13543,57,100,low
80,1,51,15587,1,100,low
80,2,65,15587,1,100,low
80,3,607,15587,1,100,low
80,7,2470,15587,10,100,low
80,8,5777,15587,30,100,low
80,9,6617,15587,57,100,low
90,1,51,17002,1,100,low
90,2,65,17002,1,100,low
90,3,633,17002,1,100,low
90,7,2705,17002,10,100,low
90,8,6319,17002,30,100,low
90,9,7229,17002,57,100,low
100,1,51,18161,1,100,low
100,2,65,18161,1,100,low
100,3,660,18161,1,100,low
100,7,2897,18161,10,100,low
100,8,6761,18161,30,100,low
100,9,7727,18161,57,100,low
$ getpinfo
pid: 1 hticks: 1 lticks:50, tickets: 1
pid: 2 hticks: 1 lticks:69, tickets: 1
pid: 3 hticks: 1 lticks:698, tickets: 1
pid: 7 hticks: 1 lticks:6208, tickets: 10
pid: 8 hticks: 1 lticks:14458, tickets: 30
pid: 9 hticks: 1 lticks:16401, tickets: 57
TEST PASSED
